{'docnum': 1, 'title': 'experimental investigation of the aerodynamics of awing in a slipstream .'}
{'docnum': 1241, 'title': 'the turbulent boundary layer on chemically active ablatingsurfaces .'}
{'docnum': 1242, 'title': 'some considerations on the laminar stability of time-dependent basicflows .'}
{'docnum': 1243, 'title': 'supersonic boom of wing-body configurations .'}
{'docnum': 1244, 'title': 'on the aerodynamic noise of a turbulent jet .'}
{'docnum': 1245, 'title': 'some aspects of nonequilibrium flows .'}
{'docnum': 1246, 'title': 'solution of subsonic nonplanar lifting surface problemsby means of high-speed digital computers .'}
{'docnum': 1247, 'title': 'the supersonic boom of a projectile related to dragand volume .'}
{'docnum': 1248, 'title': 'an analytic extension of the shock-expansion method .'}
{'docnum': 1249, 'title': 'plasma flow over a thin charged conductor .'}
{'docnum': 1250, 'title': 'high-speed viscous corner flow .'}
{'docnum': 1251, 'title': 'viscous flow past a quarter infinite plate .'}
{'docnum': 1252, 'title': 'on the approach to chemical and vibrational equilibriumbehind a strong normal shock wave .'}
{'docnum': 1253, 'title': 'hypersonic viscous flow near the stagnation point inthe presence of magnetic field .'}
{'docnum': 1254, 'title': 'combustion in the boundary layer on a porous surface .'}
{'docnum': 1255, 'title': 'the flow about a charged body moving in the lower atmosphere .'}
{'docnum': 1256, 'title': 'fluctuating lift and drag acting on a cylinder in aflow at supercritical reynolds numbers .'}
{'docnum': 1257, 'title': 'an optical boundary-layer probe .'}
{'docnum': 1258, 'title': 'heat transfer, recovery factor and pressure distributionsaround a circular cylinder normal to a supersonic rarefiedair stream .'}
{'docnum': 1259, 'title': 'second-order theory for unsteady supersonic flow pastslender pointed bodies of revolution .'}
{'docnum': 1260, 'title': 'on the response of the laminar boundary layer to smallfluctuations of the free-stream velocity .'}
{'docnum': 1261, 'title': 'a method of calculating velocity distribution for turbulentboundary layers in adverse pressure distributions .'}
{'docnum': 1262, 'title': 'an extension of the linearized characteristics methodfor calculating the supersonic flow around ellipticcones .'}
{'docnum': 1263, 'title': 'turbulent heat transfer through a highly cooled, partiallydissociated boundary layer .'}
{'docnum': 1264, 'title': 'boundary layer transition and heat transfer in shocktubes .'}
{'docnum': 1265, 'title': 'on the thrust hypothesis for the jet flap includingjet-mixing effects .'}
{'docnum': 1266, 'title': 'minimum wing wave drag with volume constraint .'}
{'docnum': 1267, 'title': 'on supersonic flow past thick airfoils .'}
{'docnum': 1268, 'title': 'stable combustion of a high-velocity gas in a heatedboundary layer .'}
{'docnum': 1269, 'title': 'a study of supersonic combustion .'}
{'docnum': 1270, 'title': 'supersonic inlet dynamics .'}
{'docnum': 1271, 'title': 'theory of supersonic propeller aerodynamics .'}
{'docnum': 1272, 'title': 'oscillatory aerodynamic coefficients for a unifiedsupersonic hypersonic strip theory .'}
{'docnum': 1273, 'title': 'magnetohydrodynamic effects on the formation of couette,flow .'}
{'docnum': 1274, 'title': 'real gas effects in flow over blunt bodies at hypersonic speeds .'}
{'docnum': 1275, 'title': 'flow about an unsteadily rotating disc .'}
{'docnum': 1276, 'title': 'a three-dimensional linearized analysis of the forcesexerted on a rigid wing by a shock wave .'}
{'docnum': 1277, 'title': 'a study of vortex cancellation .'}
{'docnum': 1278, 'title': 'transition in a separated laminar boundary layer .'}
{'docnum': 1279, 'title': 'sublimation in a hypersonic environment .'}
{'docnum': 1280, 'title': 'wings with minimum drag due to lift in supersonic flow .'}
{'docnum': 1281, 'title': 'turbulent heat transfer on blunt-nosed bodies in two-dimensionaland general three-dimensional hypersonic flow .'}
{'docnum': 1282, 'title': 'compressible flat-plate boundary-layer flow with anapplied magnetic field .'}
{'docnum': 1283, 'title': 'on shearing flow between porous coaxial cylinders .'}
{'docnum': 1284, 'title': 'the transition to tubulence in a boundary layer ona blunt cone in supersonic flow .'}
{'docnum': 1285, 'title': 'experiments at hypersonic speeds on circular conesat incidence .'}
{'docnum': 1286, 'title': 'equilibrium real-gas performance charts for a shypersonicshock-tube wind-tunnel employing nitrogen .'}
{'docnum': 1287, 'title': 'progress report on an experiment on the effect of surfaceflexibility on the stability of laminar flow .'}
{'docnum': 1288, 'title': 'analysis of the fluid mechanics of secondary injectionfor thrust vector control .'}
{'docnum': 1289, 'title': 'numerical technique to lifting surface theory for calculationof unsteady aerodynamic forces due to continuous sinusoidalgusts on several wing planforms at sobsonic speeds .'}
{'docnum': 1290, 'title': 'measured and calculated subsonic and transonic fluttercharacteristics of a 45 sweptback wing planform inair and in freon-12 in the langley transonic dynamicstunnel .'}
{'docnum': 1291, 'title': 'atmosphere entries with spacecraft lift-drag ratiosmodulated to limit decelerations .'}
{'docnum': 1292, 'title': 'effect of jet pluming on the static stability of cone-cylinder-flareconfigurations at a mach number of 9. 65 .'}
{'docnum': 1293, 'title': 'design of stiffened cylinders in axial compression .'}
{'docnum': 1294, 'title': 'non-linear shallow shell analysis by the matrix forcemethod .'}
{'docnum': 1295, 'title': 'recent advances in nonequilibrium dissociating gasdynamics .'}
{'docnum': 1296, 'title': 'non-equilibrium expansions of air with coupled chemicalreactions .'}
{'docnum': 1297, 'title': 'ionization nonequilibrium in expanding flows .'}
{'docnum': 1298, 'title': 'theory of radiation from luminous shock waves in nitrogen .'}
{'docnum': 1299, 'title': 'hypersonic viscous shock layer .'}
{'docnum': 1300, 'title': 'some effects of bluntness on boundary layer transitionand heat transfer at supersonic speeds .'}
{'docnum': 1301, 'title': 'compressible boundary layers on bodies of revolution .'}
{'docnum': 1302, 'title': 'the development of the boundary layer in supersonicshear flow .'}
{'docnum': 1303, 'title': 'air pressure on a cone moving at high speeds .'}
{'docnum': 1304, 'title': 'newtonian flow over a surface . colston symposium onhypersonic flow,'}
{'docnum': 1305, 'title': 'a proposed programme of wind tunnel tests at hypersonicspeeds to investigate the lifting properties of geometricallyslender shapes .'}
{'docnum': 1306, 'title': 'experiments on circular cones at yaw in supersonicflow .'}
{'docnum': 1307, 'title': 'laminar heat-transfer and pressure measurements ata mach number of 6 on sharp and blunt 15 half-anglecones at angles of attack up to 90 .'}
{'docnum': 1308, 'title': 'a guide to the use of the m. i. t.  cone tables .'}
{'docnum': 1309, 'title': 'hypersonic flows past a yawed circular cone and otherpointed bodies .'}
{'docnum': 1310, 'title': 'survey of inviscid hypersonic flow theory for geometricallyslender shapes .'}
{'docnum': 1311, 'title': 'some simple solutions to the problem of predictingboundary layer self-induced pressures .'}
{'docnum': 1312, 'title': 'tabulated solutions of the equilibrium gas propertiesbehind the incidents and reflected normal shock-wavein a shock-tube .'}
{'docnum': 1313, 'title': 'on the flow in a reflected shock tunnel .'}
{'docnum': 1314, 'title': 'production of high temperature gases in shock tubes .'}
{'docnum': 1315, 'title': 'performance estimates for the rae 6in . high-pressureshock tube .'}
{'docnum': 1316, 'title': 'temperature measurements of shock-waves by spectrum-line reversal, ii adouble beam method .'}
{'docnum': 1317, 'title': 'shock-tube testing time .'}
{'docnum': 1318, 'title': 'stagnation temperature measurements in a hypersonic gun tunnel using the sodium-line reversal method .'}
{'docnum': 1319, 'title': 'real gas effects in flow over blunt bodies at hypersonic speeds .'}
{'docnum': 1320, 'title': 'divergence of plate airfoils of low aspect ratio atsupersonic speeds .'}
{'docnum': 1321, 'title': 'effects of a flexible boundary on hydrodynamic stability .'}
{'docnum': 1322, 'title': 'qualitiative solutions of the stability equation for a boundary layer in contact with various forms of flexible surface .'}
{'docnum': 1323, 'title': 'an investigation of the use of an auxiliary slot tore-establish laminar flow on low drag aerofoils .'}
{'docnum': 1324, 'title': 'the effect on transition of isolated surface excrescencesin the boundary layer .'}
{'docnum': 1325, 'title': 'experiments on the use of suction through perforatedstrips for maintaining laminar flow . transition anddrag measurements .'}
{'docnum': 1326, 'title': 'interaction of secondary injectants and rocket exhaustfor thrust vector control .'}
{'docnum': 1327, 'title': 'on the propagation and structure of the blast wave .'}
{'docnum': 1328, 'title': 'the production of aerodynamic forces by heat additionon external surfaces of aircraft .'}
{'docnum': 1329, 'title': 'some aspects of non-stationary airfoil theory and itspractical application .'}
{'docnum': 1330, 'title': 'on some fourier transforms in the theory of non-stationaryflows .'}
{'docnum': 1331, 'title': 'calculated responses of a large sweptwing airplaneto continuous turbulence with flight-test comparisons .'}
{'docnum': 1332, 'title': 'calculated spanwise lift distributions, influence functionsand influence coefficients for unswept wings in subsonicflow .'}
{'docnum': 1333, 'title': 'aerodynamic forces on wings in non-uniform motion .'}
{'docnum': 1334, 'title': 'calculated spanwise lift distributions and aerodynamicinfluence coefficients for swept wings in subsonicflow .'}
{'docnum': 1335, 'title': 'use of freon-12 as a fluid for aerodynamic testing .'}
{'docnum': 1336, 'title': 'studies of the use of freon-12 as a wind tunnel testingmedium .'}
{'docnum': 1337, 'title': 'study of effects of sweep on the flutter of cantileverwings .'}
{'docnum': 1338, 'title': 'investigation to determine effects of center of gravity location on thetransonic flutter characteristics of a 45degree sweptback wing .'}
{'docnum': 1339, 'title': 'calculation of flutter characteristics for finite-span swept or unsweptwings at subsonic and supersonic speeds by a modified strip analysis .'}
{'docnum': 1340, 'title': 'method of controlling stiffness properties of a solid-constructionmodel wing .'}
{'docnum': 1341, 'title': 'investigation of wing flutter at transonic speeds for six systematically varied wing plan forms .'}
{'docnum': 1342, 'title': 'the calculation of aerodynamic loading on surfaces of any shape .'}
{'docnum': 1343, 'title': 'formulas for the supersonic loading, lift and dragof flat swept back wings with leading edges behindthe mach lines .'}
{'docnum': 1344, 'title': 'atmospheric entries with vehicle lift-drag ratio modulatedto limit deceleration and rate of deceleration vehicleswith maximum lift-drag ratio of 0. 5.'}
{'docnum': 1345, 'title': "the use of aerodynamic lift during entry into the earth'satmosphere ."}
{'docnum': 1346, 'title': 'modulated entry .'}
{'docnum': 1347, 'title': 'approximate analysis of atmospheric entry corridorsand angles .'}
{'docnum': 1348, 'title': 'radiative heat transfer during atmosphere entry atparabolic velocity .'}
{'docnum': 1349, 'title': 'effects of simulated rocket jet exhaust on stabilityand control of a research type airplane configurationat a mach number of 6. 86 .'}
{'docnum': 1350, 'title': 'effects of jet billowing on stability of missile-typebodies at mach 3. 85 .'}
{'docnum': 1351, 'title': 'exploratory tests of the effects of jet plumes on theflow over cone- cylinder flare bodies .'}
{'docnum': 1352, 'title': 'aerodynamic investigation of a parabolic body of revolutionat mach number of 1. 92 and some effects of an annularsupersonic jet exhausting from the base .'}
{'docnum': 1353, 'title': 'investigation of a two-step nozzle in the langley 11in .'}
{'docnum': 1354, 'title': 'investigation of the flow through a single stage twodimensional nozzle in the langley 11in . hypersonictunnel .'}
{'docnum': 1355, 'title': 'boundary layer displacement effects in air at machnumbers of 6. 8 and 9. 6.'}
{'docnum': 1356, 'title': 'secondary flow fields embedded in hypersonic shocklayers .'}
{'docnum': 1357, 'title': 'compressive buckling of simply supplorted plates withlongitudinal stiffeners .'}
{'docnum': 1358, 'title': 'compressive buckling of simply supported plates withtransverse stiffeners .'}
{'docnum': 1359, 'title': 'compression tests on circular cylinders stiffened longitudinallyby closely spaced z-section stringers .'}
{'docnum': 1360, 'title': 'simplified analysis of general instability of stiffenedshells in pure bending .'}
{'docnum': 1361, 'title': 'large deflections of structures subjected to heatingand external loads .'}
{'docnum': 1362, 'title': 'non-linear analysis of heated, cambered wings by the matrix forcemethod .'}
{'docnum': 1363, 'title': 'a characteristic type of instability in the large deflectionsof elastic plates .'}
{'docnum': 1364, 'title': 'an experimental investigation of the interaction between shock waves and boundary layers .'}
{'docnum': 1365, 'title': 'approximate calculation of the laminar boundary layer .'}
{'docnum': 1366, 'title': 'the compressible laminar boundary layer with heat transferand arbitrary pressure gradient .'}
{'docnum': 1367, 'title': 'a theoretical investigation of the effects of mach number, reynoldsnumber, wall temperature and surface curvature on laminar separation insupersonic flow .'}
{'docnum': 1368, 'title': 'three dimensional viscous wakes .'}
{'docnum': 1369, 'title': "steady motion of a sphere., oseens's criticism and solution ."}
{'docnum': 1370, 'title': 'some remarks on the flat plate boundary layer .'}
{'docnum': 1371, 'title': 'axisymmetric free mixing with swirl .'}
{'docnum': 1372, 'title': 'on axially symmetric, turbulent, compressible mixing in the presenceof initial boundary layer .'}
{'docnum': 1373, 'title': 'nose drag in free-molecule flow and its minimization .'}
{'docnum': 1374, 'title': 'theoretical analysis of turbulent mixing of reactivegases with application to supersonic combustion ofhydrogen .'}
{'docnum': 1375, 'title': 'an approximate solution for the axisymmetric jet of a laminarcompressible fluid .'}
{'docnum': 1376, 'title': 'some applications in physics of the p-function .'}
{'docnum': 1377, 'title': 'theoretical investigation of the flow field about bluntnosed bodies in supersonic flight .'}
{'docnum': 1378, 'title': 'blunt-cone pressure distributions at hypersonic mach numbers .'}
{'docnum': 1379, 'title': 'hypersonic flight and the re-entry problem .'}
{'docnum': 1380, 'title': 'the problem of obtaining high lift-drag ratios at supersonic speeds .'}
{'docnum': 1381, 'title': 'effect of mach number on boundary layer transitionin the presence of pressure rise and surface roughnesson an ogive-cylinder body with cold wall conditions .'}
{'docnum': 1382, 'title': "the solution of the equations of the laminar boundarylayer for schubauer's observed pressure distributionfor an elliptic cylinder ."}
{'docnum': 1383, 'title': 'on the theory of laminar boundary layer involving separation .'}
{'docnum': 1384, 'title': 'a theoretical calculation of the laminar boundary layeraround an elliptic cylinder and its comparison withexperiment .'}
{'docnum': 1385, 'title': 'air flow in a separating laminar boundary layer .'}
{'docnum': 1386, 'title': 'analysis and calculation by integral methods of laminarcompressible boundary layer with heat transfer andwith and without pressure gradient .'}
{'docnum': 1387, 'title': 'the buckling of a square panel under shear, when onepair of opposite edges is clamped and the other pairis simply supported .'}
{'docnum': 1388, 'title': 'a process for the step-by-step integration of differentialequations in an automatic digital computing machine .'}
{'docnum': 1389, 'title': 'numerical construction of detached shock waves .'}
{'docnum': 1390, 'title': 'on the numerical calculation of detached bow shockwaves in hypersonic flow .'}
{'docnum': 1391, 'title': 'shock wave and flow field development in hypersonic re-entry .'}
{'docnum': 1392, 'title': 'the solution of small displacement, stability or vibrationproblems concerning a flat rectangular panel when theedges are either clamped or simply supported .'}
{'docnum': 1393, 'title': 'heat transfer near the forward stagnation point ofa body of revolution .'}
{'docnum': 1394, 'title': 'stagnation point heat transfer measurements in hypersoniclow density flow .'}
{'docnum': 1395, 'title': 'low density stagnation point heat transfer measurementsin the hypersonic shock tunnel .'}
{'docnum': 1396, 'title': 'shear buckling of clamped and simply-supported infinitelylong plates reinforced by transverse stiffeners .'}
{'docnum': 1397, 'title': 'critical shear stress of an infinitely long simplysupported plate with transverse stiffeners .'}
{'docnum': 1398, 'title': 'stability of rectangular plates under shear and bendingforces .'}
{'docnum': 1399, 'title': 'buckling of transverse stiffened plates under shear .'}
{'docnum': 1400, 'title': 'the buckling shear stress of simply-supported infinitelylong plates with transverse stiffeners .'}
